ID,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing,EV Workplace Charging,Station Density,Nearest Station Distance (km),Nearest Station Name,Nearest Urban Center,Distance to Nearest Urban Center (km),Is_Underserved,Underserved_Cluster,Area Name,Population,LandArea_SQMI,Mean Income ($),Housing Density,500K-1M,1M-1.5M,1.5M-2M,Over2M,Population to Station Ratio
6425,Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,ZCTA5 92503,,4,,Non-Networked,33.909914,-117.459053,8/30/1997,J1772,SHOPPING_MALL,Free,FALSE,56,0.1924878247020066,Galleria at Tyler Southeast Entrance,"Riverside, CA, USA",7.549844536301402,TRUE,0,ZCTA5 92503,90011,34.321,110703,16215,7002,383,49,180,1579.140350877193
7212,Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,ZCTA5 95837,,4,,Non-Networked,38.69005,-121.58889,6/30/1998,J1772,AIRPORT,$12 parking fee,FALSE,42,0.3605660593968837,Sacramento International Airport - Terminal B Garage,"Counsman, CA, USA",10.731500606178171,TRUE,1,ZCTA5 95837,242,14.377,197348,79,21,42,0,0,5.627906976744186
21559,California State University - Channel Islands,1 University Dr,Camarillo,CA,ZCTA5 93012,,5,,Non-Networked,34.16657601660278,-119.0458547,5/30/2002,J1772,COLLEGE_CAMPUS,Free; $6 for parking day pass for non-permit holders,FALSE,35,0.4826827972950144,California State University - Channel Islands,"Naval Air Station Point Mugu, CA, USA",7.959513860131111,TRUE,2,ZCTA5 93012,37550,50.138,155278,9283,5067,1480,539,309,1043.0555555555557
21565,Home Depot,2745 Teller Rd,Newbury Park,CA,ZCTA5 91320,4,2,,Non-Networked,34.192178,-118.934793,5/15/2002,J1772 NEMA515,SHOPPING_CENTER,Free,FALSE,50,0.5301227904941973,The Arbors L1 & L2,"Newbury Park, Thousand Oaks, CA, USA",2.503459871970629,TRUE,2,ZCTA5 91320,44462,20.176,177460,11398,6764,2772,590,166,871.8039215686274
21566,Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Oak View,CA,ZCTA5 93022,,1,,Non-Networked,34.418322,-119.3368,5/30/2002,J1772,PARK,$20 parking fee,FALSE,9,4.871408223,Lake Casitas Municipal Water District - Recreational Area,"Oak View, CA, USA",4.250608796939011,TRUE,3,ZCTA5 93022,6172,3.139,125085,1647,1099,80,63,75,617.2
21673,University of California - Davis Extension - Lot 80,1441 Research Park Dr,Davis,CA,ZCTA5 95616,1,3,,Non-Networked,38.539336,-121.732405,6/1/2004,J1772 NEMA520,COLLEGE_CAMPUS,Parking fee,FALSE,49,0.5236261589324526,Yolo-Solano Air Quality Management District,"Woodland, CA, USA",15.878805402029515,TRUE,4,ZCTA5 95616,51003,29.855,109859,6436,4128,1426,121,40,1020.06
25497,North Highlands Library,4235 Antelope Rd,Antelope,CA,ZCTA5 95843,,1,,Non-Networked,38.7042,-121.365,8/1/2019,J1772,LIBRARY,Free,FALSE,47,1.7600711710080388,SSEWER DON JULIO 01,"Rio Linda, CA, USA",7.398592703238134,TRUE,5,ZCTA5 95843,48234,6.517,107123,9969,2557,11,0,8,1004.875
25507,Mosquito Road Park and Ride,Mosquito Rd & Clay St,Placerville,CA,ZCTA5 95667,,2,,Non-Networked,38.73323,-120.78962,5/30/2004,J1772,MUNI_GOV,Free,FALSE,15,0.3422674197655124,Hangtown Village Square - Tesla Supercharger,"Placerville, CA, USA",0.8718207975814786,TRUE,6,ZCTA5 95667,37283,169.08,107258,11224,4730,432,68,47,2330.1875
25511,City of Vacaville - Cultural Center,1000 Ulatis Dr,Vacaville,CA,ZCTA5 95687,,1,,Non-Networked,38.356027,-121.9628,6/15/2004,J1772,MUNI_GOV,Free,FALSE,38,0.2263999531747543,STRADA UNIT 1,"Vacaville, CA, USA",2.1761291093688486,TRUE,4,ZCTA5 95687,69837,44.557,124756,14746,8402,68,46,37,1790.6923076923076
25514,Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,CA,ZCTA5 95688,,4,,Non-Networked,38.36557,-121.967,6/15/2004,J1772,REC_SPORTS_FACILITY,Free,FALSE,38,0.091218598,Browns Valley Marketplace - Tesla Supercharger,"Vacaville, CA, USA",2.066811865338118,TRUE,4,ZCTA5 95688,39571,92.002,142472,9906,5999,1119,152,91,1014.6410256410256
25515,City of Vacaville - Regional Transport Center,190 Hickory Ln,Vacaville,CA,ZCTA5 95688,,2,,Non-Networked,38.35172,-121.987,6/15/2004,J1772,TRAVEL_CENTER,Free,FALSE,38,0.2335093459531061,Bella Vista Road Park & Ride Lot,"Vacaville, CA, USA",0.5442083633454529,TRUE,4,ZCTA5 95688,39571,92.002,142472,9906,5999,1119,152,91,1014.6410256410256
25516,Office of Housing & Redevelopment,40 Eldridge Ave,Vacaville,CA,ZCTA5 95688,,2,,Non-Networked,38.356907,-122.001886,6/15/2004,J1772,OFFICE_BLDG,Free,FALSE,38,0.8633705818330244,City of Vacaville - City Hall,"Vacaville, CA, USA",1.233387444194632,TRUE,4,ZCTA5 95688,39571,92.002,142472,9906,5999,1119,152,91,1014.6410256410256
25517,KUIC Radio - Parking Lot,500 Catherine St,Vacaville,CA,ZCTA5 95688,,1,,Non-Networked,38.355867,-121.9862,6/15/2004,J1772,PARKING_LOT,Free,FALSE,38,0.4663720385728033,City of Vacaville - Regional Transport Center,"Vacaville, CA, USA",0.1564087808609552,TRUE,4,ZCTA5 95688,39571,92.002,142472,9906,5999,1119,152,91,1014.6410256410256
25518,City of Vacaville - City Hall,650 Merchant St,Vacaville,CA,ZCTA5 95688,,7,,Non-Networked,38.351758,-121.994475,6/15/2004,J1772,MUNI_GOV,Free,FALSE,39,0.1186580354075528,VACAVILLE CH - FRONT LOT,"Vacaville, CA, USA",0.7947018387382399,TRUE,4,ZCTA5 95688,39571,92.002,142472,9906,5999,1119,152,91,989.275
25520,Pitt School Plaza,1440 Ary Ln,Dixon,CA,ZCTA5 95620,1,,,Non-Networked,38.457369,-121.842567,6/15/2004,NEMA520,SHOPPING_CENTER,Free,FALSE,5,0.212205689,DX DX-1305 STARTFO,"Winters, CA, USA",13.452012338858117,TRUE,4,ZCTA5 95620,21439,241.267,117972,4630,2550,132,75,32,3573.1666666666665
25522,El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,ZCTA5 95667,,3,,Non-Networked,38.72799,-120.828,5/15/2004,J1772,MUNI_GOV,Free,FALSE,28,0.095663361,El Dorado County Government Center,"Placerville, CA, USA",2.5614532782509407,TRUE,6,ZCTA5 95667,37283,169.08,107258,11224,4730,432,68,47,1285.6206896551723
25523,El Dorado Transit Park & Ride,4640 Post St,El Dorado Hills,CA,ZCTA5 95762,,2,,Non-Networked,38.6476,-121.067,5/1/2012,J1772,MUNI_GOV,Free,FALSE,43,0.6943988064711544,Mercedes-Benz of El Dorado Hills,"El Dorado Hills, CA, USA",4.4774565274238265,TRUE,6,ZCTA5 95762,47354,41.588,208499,13940,9842,2366,521,434,1076.2272727272727
27302,Rio Vista City Hall,1 Main St,Rio Vista,CA,ZCTA5 94571,,1,,Non-Networked,38.15485,-121.69,8/15/2006,J1772,MUNI_GOV,Free,FALSE,1,0.6289968994124461,Rio Sands Lodge,"Antioch, CA, USA",19.504492570187647,TRUE,7,ZCTA5 94571,10439,109.098,92951,4186,1179,18,14,0,5219.5
27328,Fairfield City Hall,1000 Webster St,Fairfield,CA,ZCTA5 94533,,2,,Non-Networked,38.25281,-122.044229,8/27/2012,J1772,MUNI_GOV,Free,FALSE,52,0.4510208510890447,Solano County - County Administration Center Parking Structure,"Fairfield, CA, USA",1.028817908637222,TRUE,4,ZCTA5 94533,77380,22.526,106593,13597,4881,181,29,46,1460
27329,Solano Community College,4000 Suisun Valley Rd,Fairfield,CA,ZCTA5 94534,,3,,Non-Networked,38.23723,-122.123,7/15/2005,J1772,COLLEGE_CAMPUS,Free,FALSE,47,1.8139664259348172,Burger King - Tesla Supercharger,"Fairfield, CA, USA",6.430366999723464,TRUE,4,ZCTA5 94534,42296,77.504,162507,10352,7431,1040,140,161,881.1666666666666
27335,Vallejo Ferry Terminal,495 Mare Island Way,Vallejo,CA,ZCTA5 94590,,,,Non-Networked,38.105062,-122.265895,7/15/2005,,TRAVEL_CENTER,Free,FALSE,49,0.5335947231633397,Vallejo City Hall,"Vallejo, CA, USA",0.8171750322017352,TRUE,4,ZCTA5 94590,39981,6.563,84352,6574,2690,106,0,50,799.62
33544,City of Ukiah - Public Parking Lot,N Oak St & W Standley St,Ukiah,CA,ZCTA5 95482,,1,,Non-Networked,39.15,-123.2091,11/30/2008,J1772,PARKING_LOT,Free,FALSE,27,0.063828914,OAK STREET CHAR STATION1,"Ukiah, CA, USA",0.1147703225727087,TRUE,8,ZCTA5 95482,33276,294.154,92095,6629,2312,98,44,130,1188.4285714285713
33545,Nut Tree Village,1651 E Monte Vista Ave,Vacaville,CA,ZCTA5 95688,1,1,,Non-Networked,38.368755,-121.961192,12/15/2008,J1772 NEMA515,SHOPPING_CENTER,Free,FALSE,37,0.090439779,Nut Tree Plaza,"Vacaville, CA, USA",2.682078597961912,TRUE,4,ZCTA5 95688,39571,92.002,142472,9906,5999,1119,152,91,1041.342105263158
33555,4th and G Plaza Public Parking Garage,817 4th St,Davis,CA,ZCTA5 95616,,2,,Non-Networked,38.54643,-121.7388,12/1/2008,J1772,PARKING_GARAGE,Free,FALSE,49,0.011267709,4TH ST 1 4TH ST 1,"Woodland, CA, USA",14.990062569022443,TRUE,4,ZCTA5 95616,51003,29.855,109859,6436,4128,1426,121,40,1020.06
33556,Davis Amtrak Station,840 2nd St,Davis,CA,ZCTA5 95616,,2,,Non-Networked,38.5443,-121.738,12/1/2008,J1772,PAY_LOT,Free,FALSE,49,0.2468524993040905,4th and G Plaza Public Parking Garage,"Woodland, CA, USA",15.236046911197844,TRUE,4,ZCTA5 95616,51003,29.855,109859,6436,4128,1426,121,40,1020.06
33557,University of California - Davis - Quad Parking Structure,6 Howard Way,Davis,CA,ZCTA5 95616,3,7,,Non-Networked,38.544538,-121.749713,12/1/2008,J1772 NEMA520,COLLEGE_CAMPUS,Parking fee,FALSE,49,0.3955618858571899,City of Davis - City Hall,"Woodland, CA, USA",15.037976981953552,TRUE,4,ZCTA5 95616,51003,29.855,109859,6436,4128,1426,121,40,1020.06
33558,University Covenant Church,315 Mace Blvd,Davis,CA,ZCTA5 95618,,1,,Non-Networked,38.55755,-121.6947,12/1/2008,J1772,PLACE_OF_WORSHIP,Free,FALSE,49,0.18927321,RIBM-SACRD STATION 3,"Woodland, CA, USA",15.084939761072784,TRUE,4,ZCTA5 95618,27472,32.13,143939,5351,3030,1149,205,108,549.44
33559,Wildhorse Golf Club,2323 Rockwell Dr,Davis,CA,ZCTA5 95618,,2,,Non-Networked,38.569412,-121.721373,6/15/1998,J1772,REC_SPORTS_FACILITY,,FALSE,49,1.947022040251357,ENTRY STATION #1,"Woodland, CA, USA",12.943338450041534,TRUE,4,ZCTA5 95618,27472,32.13,143939,5351,3030,1149,205,108,549.44
35146,Fairfield Transportation Center,2000 Cadenasso Dr,Fairfield,CA,ZCTA5 94533,,2,,Non-Networked,38.2482,-122.0678,5/1/2009,J1772,TRAVEL_CENTER,Free,FALSE,52,0.071429758,DC CORRIDOR FAIRFIELD DC1,"Fairfield, CA, USA",1.597179936879006,TRUE,4,ZCTA5 94533,77380,22.526,106593,13597,4881,181,29,46,1460
39314,Super 8 - Ukiah,693 S Orchard Ave,Ukiah,CA,ZCTA5 95482,,1,,Non-Networked,39.1458,-123.198497,5/15/2011,J1772,HOTEL,$10 per session,FALSE,27,0.156031295,Best Western Orchard Inn - Tesla Destination,"Ukiah, CA, USA",0.9369046660864024,TRUE,8,ZCTA5 95482,33276,294.154,92095,6629,2312,98,44,130,1188.4285714285713
39870,Antioch Nissan,1831 Auto Center Dr,Antioch,CA,ZCTA5 94509,,1,1,Non-Networked,38.007799,-121.832042,3/15/2011,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free,FALSE,36,0.064552194,TOYOTA_SALES CT4K 1,"Antioch, CA, USA",2.3173732936177798,TRUE,9,ZCTA5 94509,69931,17.444,100718,12857,6586,133,27,60,1890.027027027027
39876,Chico Nissan,575 Manzanita Ave,Chico,CA,ZCTA5 95926,,3,1,Non-Networked,39.75674,-121.84372,3/15/2011,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free,FALSE,33,0.6867795774976476,CHICO 1 2 PUBLIC 2,"Chico, CA, USA",3.1859277830251425,TRUE,10,ZCTA5 95926,41259,7.778,83328,7144,2138,168,0,39,1213.5
39881,Larry H Miller Nissan,2575 Wardlow Rd,Corona,CA,ZCTA5 92882,,2,1,Non-Networked,33.88319,-117.61565,3/15/2011,CHADEMO J1772,CAR_DEALER,Free,FALSE,38,0.164106819,CARDINALEWAY FRONT 1,"Corona, CA, USA",4.8811065805802425,TRUE,0,ZCTA5 92882,67894,11.747,118811,12556,9065,281,45,65,1740.871794871795
39883,Hanlees Nissan,5009 Chiles Rd,Davis,CA,ZCTA5 95618,,1,1,Non-Networked,38.55252,-121.69156,3/15/2011,CHADEMO J1772,CAR_DEALER,Free,FALSE,49,0.3476789813003624,7-ELEVEN 38681 DAVIS DC1,"Woodland, CA, USA",15.707268817082204,TRUE,4,ZCTA5 95618,27472,32.13,143939,5351,3030,1149,205,108,549.44
39888,Nissan of Elk Grove,8590 Laguna Grove Dr,Elk Grove,CA,ZCTA5 95757,,4,2,Non-Networked,38.40209,-121.38584,3/15/2011,CHADEMO J1772,CAR_DEALER,Free,FALSE,56,0.1810556908184919,Elk Grove Subaru,"Elk Grove, CA, USA",4.044201809511056,TRUE,11,ZCTA5 95757,55257,64.497,149721,10829,8135,277,18,72,969.4210526
