ID,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing,EV Workplace Charging,Station Density,Nearest Station Distance (km),Nearest Station Name,Nearest Urban Center,Distance to Nearest Urban Center (km),Is_Underserved,Underserved_Cluster
49255,Winner Chevrolet,1624 S Canyon Way,Colfax,CA,ZCTA5 95713,,2.0,1.0,Non-Networked,39.084259,-120.956,2012-08-28,J1772 J1772COMBO,CAR_DEALER,Free,False,4,0.10496847932363886,DC CORRIDOR COLFAX D&D DC1,"Auburn, CA, USA",23.33983416981895,True,0
51252,The Cedar House Sport Hotel,10918 Brockway Rd,Truckee,CA,ZCTA5 96161,,2.0,,Non-Networked,39.324006,-120.169783,2013-02-26,J1772,HOTEL,,False,29,0.05177146029451576,Cedar House Sport Hotel - Tesla Destination,"South Lake Tahoe, CA, USA",45.88201520282743,True,1
52640,Resort at Squaw Creek,1960 Squaw Valley Rd,Olympic Valley,CA,ZCTA5 96146,,4.0,,Non-Networked,39.19591,-120.236254,2013-08-01,J1772,HOTEL,Variable fee,False,10,0.4622913027509336,Palisades Tahoe Far East Center L2,"South Lake Tahoe, CA, USA",35.99641877724069,True,2
60871,Oasis West RV Park,28485 Gonzaga Rd,Gustine,CA,ZCTA5 95322,10.0,,,Non-Networked,37.055147,-121.015402,2014-12-15,NEMA1450,CAMPGROUND,$20 per session,False,13,0.18335573099508282,Motel 6 - Santa Nella CA,"Gustine, CA, USA",22.324981172355624,True,3
62978,Point Reyes National Seashore - Bear Valley Visitor Center,1 Bear Valley Rd,Point Reyes Station,CA,ZCTA5 94956,,6.0,,Non-Networked,38.040933,-122.800044,2014-08-06,J1772,NATL_PARK,Free,False,5,0.03474389356484734,Bear Valley Visitor Center - Tesla Destination,"Novato, CA, USA",21.05439910509071,True,4
63181,Victorian Inn and VI Restaurant,400 Ocean Ave,Ferndale,CA,ZCTA5 95536,,1.0,,Non-Networked,40.575434,-124.264839,2014-09-01,J1772,INN,Free,False,11,0.025959704135173057,The Victorian Inn - Tesla Destination,"Eureka, CA, USA",24.29329075061157,True,5
63477,Fort Ross State Historic Park,19005 Coast Hwy,Jenner,CA,ZCTA5 95450,,2.0,,Non-Networked,38.51597466,-123.2467089,2016-04-01,J1772,PARK,Free,False,2,3.272822905233762,Timber Cove Resort - Tesla Destination,"Forestville, CA, USA",31.39958073114683,True,6
63654,Shenandoah Vineyards Winery,12300 Steiner Rd,Plymouth,CA,ZCTA5 95669,,1.0,,Non-Networked,38.53691,-120.79411,2014-10-02,J1772,BREWERY_DISTILLERY_WINERY,Free,False,6,0.12123578509266299,Shenandoah Vineyards - Tesla Destination,"Placerville, CA, USA",21.432505355427462,True,7
63730,Greenwood Ridge Vineyards,5501 Highway 128,Philo,CA,ZCTA5 95466,,1.0,1.0,Non-Networked,39.0979,-123.484338,2014-10-10,CHADEMO J1772,BREWERY_DISTILLERY_WINERY,Free,False,5,0.8926888528282407,Greenwood Ridge Vineyards Tasting Room - Tesla Destination,"Ukiah, CA, USA",24.553894350578883,True,8
66638,San Gorgonio Hospital,600 N Highland Springs Ave,Banning,CA,ZCTA5 92220,,2.0,,Non-Networked,33.9317483,-116.9459506,2014-04-01,J1772,HOSPITAL,Free,False,14,0.23418983658454198,"Walgreens - Banning, CA #5182","Redlands, CA, USA",25.793645092412874,True,9
